year,nat_accept_ge4_pct,nat_scene_ge10_pct,nat_scene_stay_ge30_pct,nat_accept_burden,nat_call_to_scene_min,nat_transport_strain
2014,2.73231961868298,28.2013092817809,4.24884157863566,2.31777525738277,8.38936170212766,1002.03495180638
2015,2.38863293290426,28.3974258231383,4.18319097263424,1.98639909170381,8.41489361702128,1008.88504756015
2016,2.06302394800851,29.1500734065702,4.17132386252956,1.74405904991687,8.46382978723404,1023.76831892149
2017,1.92834165515532,29.4035322100745,4.13131392889813,1.67752095321359,8.50851063829787,1039.19091725304
2018,2.11644370572979,30.4598391605702,4.2326925678295,1.80130163007528,8.63191489361702,1070.70104921104
2019,2.10427148061489,30.3590604424043,4.23268930992188,1.79910351199468,8.61914893617022,1059.65076362749
2020,2.2705852160383,33.1824564041128,4.79516857479139,2.00984579965619,8.90212765957447,944.882150494212
2021,2.97266946125532,37.406965350483,5.82795311105313,2.50856891874168,9.31063829787234,984.006209247851
2022,5.2222945925383,42.6394134775447,8.04566486668813,4.00749698889133,9.86595744680851,1135.50918490092
2023,4.88056498566383,40.7505050363298,7.94312754746323,3.6671528720081,9.62340425531915,1189.63128102653
2024,4.18690447912553,39.3282814235575,7.63429523634619,3.14184706728773,9.48297872340426,1186.89940196611
