label,outcome,exposure,n_obs,n_clusters,estimate,cluster_se,wcb_ci_lo,wcb_ci_hi,wcb_p,wcb_p_display,holm_p,cr2_se,cr2_df,cr2_p,cr2_ci_lo,cr2_ci_hi,holm_family,seed
C1_scene_arrival_time,d_call_to_scene,d_accept_ge4_pct,470,47,0.0805292147298574,0.0227697440910267,0.0219177758870093,0.127670593677832,0.0001000100010001,1e-04,0.0002000200020002,0.0259561859646012,8.82568351218637,0.0129700161549401,0.0216349835566666,0.139423445903049,yes,20260716
C2_accept_burden,d_scene_ge10_pct,d_accept_burden,470,47,0.402385084017459,0.148440297628772,0.102338090858128,0.772292572247385,0.0017001700170017,0.0017,0.0017001700170017,0.156898168395088,16.5919516039977,0.0203635535709685,0.0707376476946811,0.734032520340238,yes,20260717
C3a_scene_stay_exposure,d_scene_ge10_pct,d_scene_stay_ge30,470,47,0.439211996766104,0.0856071650617586,0.235027603329785,0.630549004021771,0,< 0.0001,0,0.092036019957008,12.8220246342341,0.000378673217058707,0.240099349908333,0.638324643623877,yes,20260718
C3b_scene_stay_time,d_call_to_scene,d_scene_stay_ge30,470,47,0.0583845515105109,0.0187944685935071,0.0224819493600892,0.112198816437685,0,< 0.0001,,,,,,,no; supportive,20260718
