model,r_estimate,python_estimate,delta_estimate,r_ci_lo,r_ci_hi,py_ci_lo,py_ci_hi,ci_lo_diff,ci_hi_diff,r_wcb_p,py_wcb_p,classification
primary,0.435446048603923,0.435446,4.86039232194813e-08,0.221984028769077,0.564341596055916,0.248,0.621,0.0260159712309231,0.0566584039440845,0.0003000300030003,1e-04,B
c1_scene_time,0.0805292147298574,0.080529,2.14729857367368e-07,0.0219177758870093,0.127670593677832,0.003,0.157,0.0189177758870093,0.0293294063221683,0.0001000100010001,1e-04,A
c2_burden,0.402385084017459,0.402385,8.40174593785825e-08,0.102338090858128,0.772292572247385,0.048,0.75,0.0543380908581285,0.0222925722473847,0.0017001700170017,0.0025,B
c3a_scene_stay,0.439211996766104,0.439212,3.2338957067779e-09,0.235027603329785,0.630549004021771,0.212,0.672,0.0230276033297846,0.0414509959782294,0,2e-04,A
forward_lag,0.50944462801512,0.509445,3.71984879676823e-07,0.153558793666799,0.903481677749839,0.112,0.906,0.041558793666799,0.00251832225016058,0.0028002800280028,0.0033,A
reverse_lag,-2.696333910647e-05,0,2.696333910647e-05,-0.058943638681783,0.058889712003571,-0.062,0.061,0.00305636131821696,0.00211028799642903,0.999299929992999,0.9997,A
level_fe,0.677458240590867,0.677458,2.40590866895651e-07,,,,,,,,,A
