variable,acceptance_ge4_pct,acceptance_ge4_cases_per_1000_dispatches,scene_stay_ge30_pct,scene_ge10_pct,call_to_scene_arrival_mean_minutes,annual_transport_strain_dispatches_per_team
acceptance_ge4_pct,1,0.879783694523741,0.798021998450676,0.581089142963692,0.579633038008553,0.4345406250876
acceptance_ge4_cases_per_1000_dispatches,0.879783694523741,1,0.654685538559552,0.563027181183178,0.547993166585765,0.127094489401994
scene_stay_ge30_pct,0.798021998450676,0.654685538559552,1,0.578477968753537,0.572128589831503,0.418368066135233
scene_ge10_pct,0.581089142963692,0.563027181183178,0.578477968753537,1,0.984151360350329,0.169621356919769
call_to_scene_arrival_mean_minutes,0.579633038008553,0.547993166585765,0.572128589831503,0.984151360350329,1,0.189102515317823
annual_transport_strain_dispatches_per_team,0.4345406250876,0.127094489401994,0.418368066135233,0.169621356919769,0.189102515317823,1
