year,prefecture_code,prefecture_name,analysis_population_n,scene_stay_ge30_n,scene_stay_ge30_share_reported_pct,scene_stay_ge45_n,scene_stay_ge60_n,source_pdf_filename,source_pdf_page,extraction_method,double_check_status,scene_stay_ge30_share_calculated_pct,rounding_difference_pp
2014,33,岡山県,9067,368,4.1,86,29,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,4.058674313444358,-0.04132568655564128
2014,34,広島県,10403,761,7.3,195,78,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,7.315197539171393,0.015197539171393437
2014,35,山口県,4290,160,3.7,51,17,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.7296037296037294,0.029603729603729256
2014,36,徳島県,3471,86,2.5,26,14,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.477672140593489,-0.022327859406511052
2014,37,香川県,4434,112,2.5,28,10,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.525935949481281,0.025935949481281195
2014,38,愛媛県,7544,144,1.9,32,13,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.9088016967126193,0.008801696712619433
2014,39,高知県,5363,165,3.1,35,14,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.0766362110758902,-0.02336378892410984
2014,40,福岡県,12379,145,1.2,47,24,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.1713385572340254,-0.0286614427659746
2014,41,佐賀県,3670,118,3.2,28,13,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.215258855585831,0.015258855585830844
2014,42,長崎県,5849,210,3.6,39,16,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.590357326038639,-0.00964267396136087
2014,43,熊本県,6494,128,2.0,30,10,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.971050200184786,-0.02894979981521395
2014,44,大分県,5907,118,2.0,24,7,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.9976299305908245,-0.0023700694091755015
2014,45,宮崎県,5583,136,2.4,32,9,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.4359663263478417,0.035966326347841804
2014,46,鹿児島県,6171,217,3.5,55,15,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.5164479014746393,0.01644790147463926
2014,47,沖縄県,6458,85,1.3,22,8,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,1.3161969650046454,0.016196965004645403
2015,1,北海道,20757,787,3.8,192,75,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.7914920267861443,-0.008507973213855546
2015,2,青森県,7161,161,2.2,22,11,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.2482893450635384,0.048289345063538214
2015,3,岩手県,6415,321,5.0,58,23,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,5.003897116134061,0.0038971161340608518
2015,4,宮城県,9232,1010,10.9,274,101,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,10.940207972270365,0.04020797227036432
