prefecture_code,prefecture,year,ambulance_dispatches,persons_transported,call_to_scene_arrival_mean_minutes,call_to_physician_handover_mean_minutes,scene_ge10_count,scene_ge20_count,handover_ge60_count,handover_ge120_count,ambulance_teams,ambulance_vehicles,ambulance_personnel,operational_emergency_life_saving_technicians,emergency_designated_hospitals,emergency_designated_clinics,total_emergency_designated_facilities,hospitals,general_hospital_beds,acute_function_beds,highly_acute_function_beds,total_population,population_age65plus,legacy_inhabitable_land_area_km2_ssdse,total_emergency_designated_facilities_direct,total_emergency_designated_facilities_recalculated,inhabitable_land_area_ha,H711001_road_length_including_expressways_km_raw,H7110_road_length_excluding_expressways_km_raw,road_length_original_unit,scene_ge10_share,scene_ge20_share,handover_ge60_share,handover_ge120_share,annual_transport_strain_dispatches_per_team,annual_receiving_strain_transports_per_facility,proportion_age65plus,ambulance_dispatches_per_100000_population,ambulance_teams_per_100000_population,inhabitable_land_area_km2,total_road_length_km,road_length_excluding_expressways_km,population_density_per_inhabitable_km2,road_density_per_inhabitable_km2,road_density_excluding_expressways_per_inhabitable_km2
44,大分県,2023,64204,57062,9.3,40.0,22949,2387,6823,201,60,75,714,349,,,,126,,,,1096000,375000,179505,,,,,,,0.357438788861,0.037178368949,0.119571693947,0.00352248431531,1070.06666667,,0.342153284672,5858.02919708,5.47445255474,,,,,,
45,宮崎県,2023,55111,46553,10.5,45.0,27178,2727,8069,248,45,58,538,253,,,,112,,,,1042000,351000,187508,,,,,,,0.493150187803,0.0494819546007,0.173329323567,0.00532726140098,1224.68888889,,0.336852207294,5288.96353167,4.31861804223,,,,,,
46,鹿児島県,2023,99484,88710,9.6,41.6,40551,3579,12107,395,118,140,1208,610,,,,191,,,,1549000,524000,328724,,,,,,,0.407613284548,0.0359756342728,0.136478412806,0.00445271108105,843.084745763,,0.338282763073,6422.46610717,7.61781794706,,,,,,
47,沖縄県,2023,97749,82286,9.3,36.1,36535,2035,2848,46,74,86,986,533,,,,76,,,,1468000,350000,112607,,,,,,,0.373763414459,0.0208186273005,0.0346109909341,0.000559025836716,1320.93243243,,0.238419618529,6658.65122616,5.0408719346,,,,,,
01,北海道,2024,301864,266835,9.5,44.6,109944,12549,44657,2603,335,441,4679,2394,,,,,,,,5043000,1677000,2269076,,,,,,,0.364216998383,0.0415717011634,0.167358105196,0.00975509209811,901.086567164,,0.33254015467,5985.80210192,6.64287130676,,,,,,
02,青森県,2024,58458,53390,10.1,42.3,26543,1782,6586,211,87,112,1371,538,,,,,,,,1165000,416000,325269,,,,,,,0.454052482124,0.0304834239967,0.123356433789,0.00395205094587,671.931034483,,0.357081545064,5017.85407725,7.4678111588,,,,,,
03,岩手県,2024,57925,53337,10.1,46.7,24622,3183,9812,461,85,103,1273,474,,,,,,,,1145000,405000,375141,,,,,,,0.425066896849,0.0549503668537,0.183962352588,0.00864315578304,681.470588235,,0.353711790393,5058.95196507,7.42358078603,,,,,,
04,宮城県,2024,130260,114361,9.6,47.1,54114,3512,22234,718,103,128,1228,524,,,,,,,,2248000,665000,318603,,,,,,,0.415430677107,0.026961461692,0.194419426203,0.00627836412763,1264.66019417,,0.295818505338,5794.48398577,4.58185053381,,,,,,
05,秋田県,2024,46523,43022,9.4,39.2,17833,1378,3931,121,77,87,1244,416,,,,,,,,897000,354000,323329,,,,,,,0.383315779292,0.0296197579692,0.0913718562596,0.00281251452745,604.194805195,,0.394648829431,5186.51059086,8.58416945373,,,,,,
06,山形県,2024,49233,45527,9.2,42.0,17839,1315,5037,106,66,81,739,337,,,,,,,,1011000,360000,287329,,,,,,,0.362338269047,0.0267097272155,0.110637643596,0.0023282887078,745.954545455,,0.356083086053,4869.73293769,6.52818991098,,,,,,
07,福島県,2024,94866,86188,10.8,50.2,52506,4402,20956,1009,122,138,1495,596,,,,,,,,1743000,587000,423098,,,,,,,0.553475428499,0.0464022937617,0.243142896923,0.011706966167,777.590163934,,0.336775674125,5442.68502582,6.99942627653,,,,,,
08,茨城県,2024,162651,145187,10.1,47.1,79490,4667,26745,1247,153,176,2462,994,,,,,,,,2806000,866000,388967,,,,,,,0.488715101659,0.0286933372681,0.18421070757,0.0085889232507,1063.07843137,,0.308624376336,5796.54312188,5.45260156807,,,,,,
09,栃木県,2024,99364,85984,9.2,46.4,37498,2520,15745,614,93,111,1135,575,,,,,,,,1885000,575000,300506,,,,,,,0.377380137676,0.0253612978544,0.183115463342,0.00714086341645,1068.43010753,,0.305039787798,5271.29973475,4.93368700265,,,,,,
10,群馬県,2024,110704,97240,8.8,41.8,35503,2535,10803,382,96,117,1227,530,,,,,,,,1890000,588000,226902,,,,,,,0.32070205232,0.0228989015754,0.111096256684,0.00392842451666,1153.16666667,,0.311111111111,5857.35449735,5.07936507937,,,,,,
11,埼玉県,2024,449437,376877,9.8,49.8,198877,9659,82932,5617,242,303,2233,1405,,,,,,,,7332000,2018000,260309,,,,,,,0.442502508694,0.0214913324893,0.220050573529,0.0149040668441,1857.17768595,,0.275231860338,6129.80087289,3.30060010911,,,,,,
12,千葉県,2024,398818,334781,10.5,54.9,203345,15829,103162,8012,238,293,2649,1249,,,,,,,,6251000,1759000,353277,,,,,,,0.509869163378,0.0396897833097,0.308147714476,0.0239320630502,1675.70588235,,0.281394976804,6380.06718925,3.80739081747,,,,,,
13,東京都,2024,941270,803103,13.1,60.5,689583,103965,327789,21534,296,390,3026,2306,,,,,,,,14178000,3215000,142869,,,,,,,0.732609134467,0.110451836349,0.408153126062,0.0268134971479,3179.96621622,,0.226759768656,6638.9476654,2.08774157145,,,,,,
14,神奈川県,2024,602795,508802,10.1,46.3,278960,20110,86381,2881,262,343,2300,1700,,,,,,,,9225000,2400000,147428,,,,,,,0.462777561194,0.0333612588027,0.16977331064,0.00566232050975,2300.74427481,,0.260162601626,6534.36314363,2.84010840108,,,,,,
15,新潟県,2024,122176,110492,9.3,45.1,47662,2709,17758,707,132,161,1671,754,,,,,,,,2099000,717000,454988,,,,,,,0.390109350445,0.0221729308539,0.16071751801,0.00639865329617,925.575757576,,0.341591233921,5820.67651263,6.288708909,,,,,,
16,富山県,2024,53929,50867,8.1,33.1,13919,421,1026,51,57,65,542,278,,,,,,,,997000,331000,184223,,,,,,,0.258098611137,0.00780656047767,0.0201702479014,0.00100261466176,946.122807018,,0.331995987964,5409.12738215,5.71715145436,,,,,,
17,石川県,2024,59048,52906,8.3,38.0,12655,1374,3641,548,58,69,841,342,,,,,,,,1098000,337000,139463,,,,,,,0.214317165696,0.0232692047148,0.0688201716251,0.0103579934223,1018.06896552,,0.306921675774,5377.77777778,5.28233151184,,,,,,
18,福井県,2024,34323,31847,8.1,35.3,8963,439,1711,47,50,57,538,249,,,,,,,,739000,235000,107732,,,,,,,0.261136847012,0.0127902572619,0.0537256256476,0.00147580619839,686.46,,0.31799729364,4644.51962111,6.76589986468,,,,,,
19,山梨県,2024,48280,44494,10.3,46.9,23000,1904,8208,495,54,63,706,278,,,,,,,,791000,253000,95307,,,,,,,0.476387738194,0.0394366197183,0.184474311143,0.0111250955185,894.074074074,,0.3198482933,6103.66624526,6.82680151707,,,,,,
